   ELE  io          N shell   l shell   eth                e0                 Sigma_0            y_a                p                  y_w                
     9   7                   2         1         6.2710E+01         2.7440E+01         2.4580E+02         7.3290E+01         3.5960E+00         1.3900E-01
     9   7                   2         0         7.6100E+01         2.3070E+01         7.1400E+01         7.2820E+00         6.5430E+00         0.0000E+00
     9   7                   1         0         7.3920E+02         2.0550E+02         3.1440E+01         1.2300E+02         1.2630E+00         0.0000E+00
     9   6                   2         1         8.7140E+01         2.2920E+01         3.0050E+02         5.0000E+01         4.0000E+00         3.0000E-01
     9   6                   2         0         9.9570E+01         2.6290E+01         3.5630E+01         2.6000E+01         4.5000E+00         0.0000E+00
     9   6                   1         0         7.7090E+02         1.6030E+02         5.3020E+01         5.0000E+01         1.6500E+00         0.0000E+00
     9   5                   2         1         1.1420E+02         2.5280E+01         1.4190E+02         7.0890E+01         3.6280E+00         3.4180E-01
     9   5                   2         0         1.2620E+02         1.8890E+01         7.1490E+01         1.1940E+01         6.0300E+00         0.0000E+00
     9   5                   1         0         8.0910E+02         1.9250E+02         3.6800E+01         7.9330E+01         1.3770E+00         0.0000E+00
     9   4                   2         0         1.5720E+02         1.1460E+01         8.4530E+01         2.4570E+01         5.7710E+00         0.0000E+00
     9   4                   1         0         8.5020E+02         1.7370E+02         4.6680E+01         5.8760E+01         1.5110E+00         0.0000E+00
     9   3                   2         0         1.8520E+02         6.4230E+00         8.4970E+01         6.0750E+01         5.2140E+00         0.0000E+00
     9   3                   1         0         8.9050E+02         1.7110E+02         4.8900E+01         6.1370E+01         1.5010E+00         0.0000E+00
     9   2                   1         0         9.5390E+02         1.1310E+02         1.0390E+02         2.6570E+01         2.2550E+00         0.0000E+00
     9   1                   1         0         1.1030E+03         3.4850E+01         6.7590E+02         3.2880E+01         2.9630E+00         0.0000E+00
ne  10  10                   2         1         2.1560E+01         2.0000E+01         1.6910E+04         2.4420E+00         1.0430E+01         3.3450E-01
    10  10                   2         0         4.8470E+01         3.2040E+01         5.6150E+01         5.8080E+00         6.6780E+00         0.0000E+00
    10  10                   1         0         8.7010E+02         3.1440E+02         1.6640E+01         2.0420E+05         8.4500E-01         0.0000E+00
    10   9                   2         1         4.0960E+01         3.4280E+01         2.7660E+02         4.1790E+01         4.0290E+00         3.0520E-01
    10   9                   2         0         6.3740E+01         3.1870E+01         4.0250E+01         8.4950E+00         6.0380E+00         0.0000E+00
    10   9                   1         0         8.8310E+02         2.4520E+02         2.7830E+01         6.0750E+01         1.4200E+00         0.0000E+00
    10   8                   2         1         6.3460E+01         3.4850E+01         2.4510E+02         6.9370E+01         3.6450E+00         2.0420E-01
    10   8                   2         0         8.7210E+01         3.1920E+01         3.7970E+01         1.0540E+01         5.6520E+00         0.0000E+00
    10   8                   1         0         9.1310E+02         2.3870E+02         2.9430E+01         6.5250E+01         1.4240E+00         0.0000E+00
    10   7                   2         1         9.7120E+01         3.4940E+01         2.2140E+02         7.2030E+01         3.5630E+00         2.5730E-01
